ToxPi Score,HClust Group,KMeans Group,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.467398549,7,1,"South Dakota, Union","42.8311,-96.6558",0.587707444,0.538573407,0.593579677,0.0704,0.714859438,0.675,0.420324551,0.513761468,0,0.348002296,0.341317365,0.556172664,0.26111332,0.049365422
0.421484667,9,5,"South Dakota, Walworth","45.4302,-100.0308",0.429833959,0.398078398,0.458862665,0.8058,0.809236948,0.5,0.40761384,0.064220183,0,0.524950044,0.143712575,0.677454926,0.36569126,0.163172415
0.497855838,7,8,"South Dakota, Yankton","43.0092,-97.3947",0.695358054,0.645422312,0.54208962,0.6151,0.621485944,0.575,0.383266,0.440366972,0,0.525829879,0.28742515,0.579673914,0.329901523,0.156378217
0.460528085,9,3,"South Dakota, Ziebach","44.9788,-101.6655",0.477765458,0.45489913,0.243209248,0.971,0.847389558,0,0.431345551,0.379541284,0.0116,0.68373495,0.113772455,0.321343639,0.754982116,0.845142599
0.595031872,7,6,"Tennessee, Anderson","36.1268,-84.1997",0.619505127,0.598952179,0.638088179,0.5664,0.739959839,0.825,0.435332789,0.743119266,0.33,0.408060877,0.437125749,0.607589018,0.413532587,0.391421032
0.520012466,7,3,"Tennessee, Bedford","35.5112,-86.4555",0.635494361,0.592258341,0.581364898,0.5454,0.841365462,0.675,0.440448587,0.229357798,0,0.556961653,0.449101796,0.506721514,0.442459147,0.477461171
0.493451704,7,3,"Tennessee, Benton","36.0711,-88.0685",0.607238683,0.603726762,0.494923429,0.51,0.772088353,0.675,0.465337031,0.155963303,0,0.38392817,0.419161677,0.685334539,0.548983841,0.575886811
0.510461833,7,3,"Tennessee, Bledsoe","35.5994,-85.2061",0.632887516,0.578160049,0.486070254,0.8233,0.864457831,0.5,0.383752128,0.165137615,0,0.488856573,0.383233533,0.581738694,0.417424018,0.6232225
0.560572705,7,4,"Tennessee, Blount","35.6894,-83.9285",0.710532207,0.679110303,0.617222437,0.3142,0.760040161,0.825,0.430595169,0.504587156,0.17,0.373659142,0.425149701,0.609505176,0.426407241,0.259745631
0.635665992,2,4,"Tennessee, Bradley","35.1574,-84.8572",0.743385776,0.683953301,0.645322584,0.687,0.83935743,0.825,0.385421325,0.568807339,0.38,0.458408449,0.461077844,0.549497408,0.48876704,0.462365887
0.539647111,7,10,"Tennessee, Campbell","36.4036,-84.1511",0.560542925,0.557694237,0.588759336,0.611,0.796184739,0.575,0.524736384,0.559633028,0.09,0.184653558,0.401197605,0.622649322,0.545354015,0.607813776
0.493044002,7,3,"Tennessee, Cannon","35.8099,-86.0574",0.585515295,0.546913834,0.52916954,0.3585,0.866465863,0.675,0.42881499,0.220183486,0.0512,0.297807238,0.401197605,0.58583425,0.472836583,0.42413499
0.486371125,9,3,"Tennessee, Carroll","35.9737,-88.4519",0.537829596,0.506835514,0.524157911,0.6979,0.770080321,0.575,0.444279284,0.23853211,0,0.52786579,0.431137725,0.615195238,0.428636988,0.524611436
0.613519907,2,6,"Tennessee, Carter","36.2897,-82.1259",0.67287571,0.644930127,0.600544848,0.5871,0.795180723,0.575,0.403919497,0.559633028,0.6,0.279007607,0.383233533,0.633558154,0.581964248,0.558982704
0.475626996,7,9,"Tennessee, Cheatham","36.2614,-87.089",0.696049506,0.672185192,0.582687028,0.2225,0.797188755,0.675,0.385026274,0,0,0.354966088,0.45508982,0.491297583,0.402164483,0.324298868
0.523141539,7,3,"Tennessee, Chester","35.4253,-88.6096",0.608203261,0.577956383,0.512410484,0.4973,0.823293173,0.75,0.438180916,0.332568807,0.0587,0.495962294,0.401197605,0.549497408,0.437738455,0.597841451
0.575136383,7,4,"Tennessee, Claiborne","36.4832,-83.6595",0.718696951,0.710244585,0.559495655,0.6094,0.762048193,0.675,0.411940643,0.596330275,0.12,0.270942632,0.419161677,0.601780717,0.43475895,0.579286332
0.511012347,7,3,"Tennessee, Clay","36.5515,-85.5393",0.596232254,0.545411758,0.500130572,0.5279,0.833333333,0.25,0.469526441,0.446422018,0.0917,0.304712271,0.413173653,0.686890666,0.48101112,0.557503187
0.530427621,7,1,"Tennessee, Cocke","35.9279,-83.1183",0.588656473,0.557264541,0.580504261,0.2127,0.747991968,0.675,0.468041818,0.669724771,0,0.372548695,0.395209581,0.624489779,0.630647059,0.637915204
0.493316523,7,9,"Tennessee, Coffee","35.4909,-86.0731",0.553697088,0.526942788,0.594300523,0.3429,0.807228916,0.75,0.409694052,0.311926606,0.02,0.4074226,0.431137725,0.560557324,0.463146488,0.384176294
0.49499435,7,3,"Tennessee, Crockett","35.8183,-89.1492",0.534317271,0.489949,0.518990027,0.4072,0.779116466,0.675,0.502411707,0.277522936,0.095,0.573300996,0.425149701,0.583792098,0.502474192,0.528086169
