ToxPi Score,HClust Group,KMeans Group,FIPS,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.515131891,8,8,37099,"North Carolina, Jackson","-83.1409,35.2881",0.431635002,0.472309811,0.584544953,0.8733,0.617234469,1,0.548404623,0.576923077,0.06,0.631153062,0.323353293,0.597857609,0.302893609,0.457148944
0.537748674,10,3,37101,"North Carolina, Johnston","-78.3662,35.5175",0.532838791,0.537858215,0.601467231,0.2401,0.676352705,1,0.529303951,0.644230769,0.22,0.607225172,0.443113772,0.449690281,0.353495378,0.40631212
0.569803479,10,3,37103,"North Carolina, Jones","-77.3587,35.0225",0.57702264,0.608222047,0.497804376,0.6568,0.664328657,0.675,0.463543485,0.721923077,0.2298,0.67346424,0.389221557,0.64065726,0.60786902,0.676075614
0.543184671,9,7,37105,"North Carolina, Lee","-79.1757,35.4762",0.41506597,0.429806212,0.621621693,0.6447,0.650300601,1,0.527906049,0.711538462,0.22,0.654169261,0.449101796,0.531089133,0.376241426,0.56239034
0.562576714,8,8,37107,"North Carolina, Lenoir","-77.6425,35.2403",0.573402073,0.5770382,0.59608582,0.9672,0.665330661,1,0.45384653,0.394230769,0.15,0.661191602,0.437125749,0.601780717,0.466630384,0.638631709
0.465244717,4,10,37109,"North Carolina, Lincoln","-81.2174,35.4851",0.28960048,0.268719588,0.596267268,0.1939,0.688376754,1,0.514068051,0.701923077,0.09,0.440243205,0.467065868,0.556172664,0.376729206,0.37361209
0.416260933,4,10,37113,"North Carolina, Macon","-83.417,35.1487",0.225917642,0.250230875,0.538590816,0.2232,0.725450902,1,0.534085197,0.432692308,0,0.359210761,0.335329341,0.745670033,0.343021655,0.37528999
0.373103172,3,1,37115,"North Carolina, Madison","-82.7135,35.854",0,0,0.510286538,0.5161,0.656312625,0.75,0.623381391,0.564903846,0.1225,0.328306293,0.347305389,0.63712461,0.258339652,0.442696407
0.483370751,9,3,37117,"North Carolina, Martin","-77.1086,35.8433",0.601368842,0.619976934,0.519976792,0.1955,0.299599198,0.75,0.502536856,0.778846154,0.04,0.637653477,0.353293413,0.651058637,0.4922118,0.561586634
0.397735982,3,1,37111,"North Carolina, McDowell","-82.0482,35.6774",0,0,0.563943166,0.7539,0.678356713,1,0.485886963,0.557692308,0,0.460563616,0.371257485,0.609505176,0.441819589,0.511173463
0.555450223,10,3,37119,"North Carolina, Mecklenburg","-80.8318,35.2447",0.486036848,0.496642072,0.755716674,0.4616,0.612224449,1,0.459639742,0.778846154,0.31,0.655122908,0.497005988,0.382326985,0.223857483,0.276980376
0.44915565,8,5,37121,"North Carolina, Mitchell","-82.1582,36.0106",0.452796158,0.470947672,0.536439285,0.3171,0.683366733,0.825,0.523807722,0.336538462,0,0.273634963,0.329341317,0.686890666,0.359664412,0.415497452
0.530611729,8,3,37123,"North Carolina, Montgomery","-79.9042,35.3316",0.526173939,0.51237668,0.532783871,0.8246,0.734468938,0.675,0.475582655,0.596153846,0,0.633445843,0.401197605,0.603726893,0.409695553,0.549762855
0.551809915,9,3,37125,"North Carolina, Moore","-79.4847,35.3089",0.481451896,0.511922042,0.586893062,0.3372,0.580160321,1,0.563628082,0.769230769,0.46,0.579791209,0.443113772,0.682202657,0.266672202,0.23640679
0.515358711,8,8,37127,"North Carolina, Nash","-77.9842,35.9658",0.386995603,0.367797715,0.608609261,0.8688,0.642284569,1,0.480675961,0.5,0.16,0.701642785,0.449101796,0.564890998,0.49348283,0.420624771
0.53476894,10,7,37129,"North Carolina, New Hanover","-77.8708,34.2576",0.378621853,0.418300446,0.721769608,0.6205,0.575150301,1,0.557343974,0.778846154,0.34,0.542926834,0.323353293,0.551735804,0.245631519,0.299793466
0.502637342,8,4,37131,"North Carolina, Northampton","-77.3977,36.4174",0.353636178,0.371397696,0.504845303,0.6294,0.680360721,0.75,0.520278977,0.686730769,0.0908,0.691933929,0.395209581,0.691520438,0.520646857,0.636174447
0.614403502,10,3,37133,"North Carolina, Onslow","-77.4291,34.7261",0.57412432,0.610754667,0.623714438,0.8017,0.675350701,1,0.583752734,0.894230769,0.36,0.602291937,0.389221557,0.308708808,0.313029817,0.409119277
0.442032534,3,1,37135,"North Carolina, Orange","-79.1217,36.0609",0.059973063,0.142048079,0.678248498,0.8367,0.443887776,1,0.449437826,0.798076923,0.42,0.536443344,0.461077844,0.452613368,0.145844545,0.151118158
0.410663616,3,1,37137,"North Carolina, Pamlico","-76.6656,35.1525",0,0,0.511382035,0.8551,0.598196393,0.75,0.502412,0.760192308,0.1253,0.606692396,0.335329341,0.745670033,0.420654261,0.420691383
0.497202015,3,10,37139,"North Carolina, Pasquotank","-76.2513,36.2672",0.208870412,0.237322541,0.597461309,0.8268,0.708416834,1,0.549324493,0.519230769,0.34,0.643631432,0.329341317,0.538099217,0.418091461,0.49829818
0.48319206,8,7,37141,"North Carolina, Pender","-77.9035,34.5227",0.333308914,0.362115532,0.526221514,0.5269,0.674348697,0.825,0.562591931,0.778846154,0,0.596396661,0.383233533,0.569174859,0.400224596,0.418998102
0.548130585,10,4,37143,"North Carolina, Perquimans","-76.406,36.1785",0.511229716,0.568917403,0.501699288,0.2961,0.831663327,0.75,0.577282261,0.715961538,0.1412,0.593161119,0.329341317,0.725224771,0.414923518,0.458485184
0.505292242,8,6,37145,"North Carolina, Person","-78.9722,36.3899",0.560674337,0.599580173,0.572407735,0.6224,0.628256513,0.825,0.507510731,0.394230769,0,0.651783476,0.425149701,0.587865273,0.34122437,0.47832725
0.616221892,10,3,37147,"North Carolina, Pitt","-77.3735,35.5954",0.510907905,0.509648897,0.631785596,0.9647,0.643286573,1,0.487859666,0.903846154,0.46,0.626880035,0.407185629,0.440780889,0.349181243,0.505096254
0.48072619,8,8,37149,"North Carolina, Polk","-82.1681,35.2782",0.37952714,0.441084825,0.544052973,0.7338,0.686372745,0.825,0.494680578,0.576923077,0,0.443670576,0.389221557,0.762525056,0.34496918,0.227579468
0.555580642,10,3,37151,"North Carolina, Randolph","-79.8057,35.7102",0.508735275,0.516756248,0.606284929,0.4769,0.733466934,1,0.521151457,0.759615385,0.08,0.536499826,0.473053892,0.556172664,0.374154915,0.509556362
0.561462689,8,3,37153,"North Carolina, Richmond","-79.7449,35.0042",0.528005498,0.536698125,0.589325117,0.9102,0.693386774,0.825,0.480571941,0.540865385,0.1238,0.787447639,0.431137725,0.558371442,0.545153135,0.638924076
0.612341596,8,3,37155,"North Carolina, Robeson","-79.1025,34.6424",0.573265575,0.556928234,0.58530896,0.9698,0.784569138,0.825,0.530402611,0.509615385,0.31,1,0.425149701,0.491297583,0.581063651,0.682626859
0.557801409,2,9,37157,"North Carolina, Rockingham","-79.775,36.3959",0.694623911,0.737329257,0.573888105,0.7351,0.682364729,1,0.490654623,0.278846154,0.06,0.581529962,0.437125749,0.607589018,0.434566186,0.508999
0.568133975,9,3,37159,"North Carolina, Rowan","-80.5245,35.64",0.519357152,0.508082895,0.62565146,0.8144,0.723446894,1,0.494446838,0.625,0.14,0.572803006,0.45508982,0.553960836,0.433827011,0.512115238
0.492199519,8,8,37161,"North Carolina, Rutherford","-81.9211,35.4011",0.386487546,0.384015678,0.55103243,0.497,0.740480962,1,0.528060567,0.375,0.16,0.475675271,0.425149701,0.631762045,0.38457243,0.57526756
0.537375958,8,6,37163,"North Carolina, Sampson","-78.3691,34.9882",0.601029496,0.585524865,0.545640248,0.7902,0.690380762,0.825,0.511887132,0.355769231,0,0.777455771,0.461077844,0.560557324,0.449044357,0.679911263
0.608347336,10,3,37165,"North Carolina, Scotland","-79.4758,34.8386",0.532561949,0.534677307,0.594234221,0.9965,0.699398798,0.825,0.52013418,0.769230769,0.22,0.933571222,0.431137725,0.556172664,0.582992318,0.654894522
0.502078684,8,4,37167,"North Carolina, Stanly","-80.2509,35.3165",0.333514108,0.307732431,0.579367325,0.553,0.849699399,1,0.471755097,0.528846154,0.11,0.507996804,0.449101796,0.587865273,0.316384255,0.454492814
0.524023459,8,3,37169,"North Carolina, Stokes","-80.2389,36.4018",0.544462152,0.574940029,0.544351858,0.1643,0.759519038,1,0.54515043,0.644230769,0,0.412016802,0.407185629,0.615195238,0.379095924,0.457352656
0.490682684,8,7,37171,"North Carolina, Surry","-80.691,36.4169",0.366785486,0.356155012,0.565307809,0.7014,0.659318637,1,0.549324493,0.615384615,0,0.436575935,0.395209581,0.613308187,0.393747175,0.494978231
0.372861031,3,1,37173,"North Carolina, Swain","-83.4875,35.4867",0,0,0.48866847,0.5498,0.614228457,0.825,0.557937894,0.519230769,0,0.679333909,0.323353293,0.603726893,0.464561627,0.705689078
0.402983515,4,10,37175,"North Carolina, Transylvania","-82.7964,35.2038",0.272577488,0.336496702,0.585849663,0.3992,0.595190381,0.825,0.592697369,0.278846154,0,0.393987988,0.341317365,0.757419609,0.268294194,0.407320022
0.506114294,8,4,37177,"North Carolina, Tyrrell","-76.1706,35.8715",0.379214706,0.428549145,0.491216986,0.8602,0.691382766,0.5,0.517274435,0.664807692,0.1371,0.697899125,0.293413174,0.642411107,0.472510953,0.625442017
0.514071439,10,3,37179,"North Carolina, Union","-80.5296,34.9896",0.459824042,0.46832432,0.607452175,0.0888,0.659318637,1,0.506861382,0.778846154,0.24,0.54352879,0.473053892,0.42856039,0.263238535,0.204275629
0.480792693,4,10,37181,"North Carolina, Vance","-78.4067,36.3688",0.233801311,0.224477563,0.614945927,0.9172,0.706412826,1,0.506473458,0.375,0.14,0.712724819,0.419161677,0.567039084,0.449915167,0.606771356
0.503175502,9,7,37183,"North Carolina, Wake","-78.6525,35.7888",0.392745623,0.437006172,0.717594756,0.4384,0.514028056,1,0.455268754,0.817307692,0.24,0.613810559,0.479041916,0.392728361,0.167861165,0.129830608
0.495792817,8,4,37185,"North Carolina, Warren","-78.1065,36.3973",0.310515719,0.334704098,0.4724428,0.795,0.746492986,0.675,0.498242585,0.563846154,0.1325,0.884882291,0.401197605,0.680626791,0.40830068,0.614642491
0.530474351,10,3,37187,"North Carolina, Washington","-76.573,35.8381",0.576025418,0.603593714,0.525934746,0.5033,0.69739479,0.675,0.354266121,0.653846154,0,0.714844538,0.335329341,0.667774075,0.52175475,0.622762876
0.552912921,9,3,37189,"North Carolina, Watauga","-81.7003,36.231",0.606749382,0.646273126,0.642348253,0.822,0.586172345,1,0.483519222,0.586538462,0.19,0.320360366,0.317365269,0.516660551,0.1625799,0.488330701
0.551802835,8,8,37191,"North Carolina, Wayne","-78.0003,35.3644",0.491031594,0.519740278,0.604658995,0.9427,0.687374749,1,0.443267262,0.423076923,0.22,0.660494964,0.461077844,0.526341402,0.460073166,0.573057126
0.523812908,8,6,37193,"North Carolina, Wilkes","-81.1623,36.2084",0.569930631,0.58867231,0.543457381,0.4578,0.72745491,1,0.484053246,0.413461538,0.05,0.405640915,0.395209581,0.62814365,0.473600836,0.547084198
0.616513961,10,3,37195,"North Carolina, Wilson","-77.918,35.7063",0.506475544,0.495539233,0.63025077,0.8644,0.671342685,1,0.548588032,0.586538462,0.67,0.653868098,0.461077844,0.558371442,0.413865837,0.593222201
0.497018891,8,5,37197,"North Carolina, Yadkin","-80.6624,36.1622",0.431662577,0.432326795,0.557896004,0.4174,0.678356713,1,0.525007478,0.564903846,0.085,0.424391238,0.413173653,0.601780717,0.398298719,0.476227998
0.473452327,8,5,37199,"North Carolina, Yancey","-82.3124,35.9008",0.400164018,0.427433913,0.542560535,0.2601,0.648296593,0.675,0.56572769,0.623461538,0.1391,0.315245814,0.335329341,0.699111164,0.381802355,0.576836216
