ToxPi Score,HClust Group,KMeans Group,Name,FIPS,Source,Infection Rate: Transmissible Cases!25!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!10!0x5ced5cff,Intervention: Social Distancing!10!0x4258c9ff,Intervention: Testing!10!0x6079f7ff,Health & Environment: Pop Demographics!10!0x6b0b9eff,Health & Environment: Air Pollution!10!0x8e26c4ff,Health & Environment: Age Distribution!10!0x9a42c8ff,Health & Environment: Co-morbidities!10!0xb460e0ff,Health & Environment: Health Disparities!10!0xc885ecff,Health & Environment: Hospital Beds!5!0xdeb9f1ff
0.545538994,8,6,"North Carolina, Pasquotank",37139,"-76.2513,36.2672",0.47949438,0.013914657,0.597461309,0.8268,1,0.573499128,0.643631432,0.329341317,0.538099217,0.418091461,0.49829818,0.376644199
0.509456585,7,2,"North Carolina, Pender",37141,"-77.9035,34.5227",0.539874476,0.02310231,0.526221514,0.5269,0.75,0.573499128,0.596396661,0.383233533,0.569174859,0.400224596,0.418998102,0.524643147
0.454411909,8,9,"North Carolina, Perquimans",37143,"-76.406,36.1785",0.510923484,0.020811655,0.501699288,0.2961,0.5,0.573499128,0.593161119,0.329341317,0.725224771,0.414923518,0.458485184,0
0.50900867,8,8,"North Carolina, Person",37145,"-78.9722,36.3899",0.454094864,0.011073516,0.572407735,0.6224,0.75,0.573499128,0.651783476,0.425149701,0.587865273,0.34122437,0.47832725,0.438355043
0.570992848,8,6,"North Carolina, Pitt",37147,"-77.3735,35.5954",0.577262794,0.025449102,0.631785596,0.9647,1,0.573499128,0.626880035,0.407185629,0.440780889,0.349181243,0.505096254,0.364840586
0.478673831,8,4,"North Carolina, Polk",37149,"-82.1681,35.2782",0.482427111,0.016713092,0.544052973,0.7338,0.5,0.573499128,0.443670576,0.389221557,0.762525056,0.34496918,0.227579468,0.49936125
0.549511082,7,6,"North Carolina, Randolph",37151,"-79.8057,35.7102",0.586829248,0.028107518,0.606284929,0.4769,1,0.573499128,0.536499826,0.473053892,0.556172664,0.374154915,0.509556362,0.563279867
0.595908974,8,8,"North Carolina, Richmond",37153,"-79.7449,35.0042",0.579424036,0.026900845,0.589325117,0.9102,0.75,0.573499128,0.787447639,0.431137725,0.558371442,0.545153135,0.638924076,0.405586805
0.606668571,8,8,"North Carolina, Robeson",37155,"-79.1025,34.6424",0.524536206,0.013867972,0.58530896,0.9698,0.75,0.573499128,1,0.425149701,0.491297583,0.581063651,0.682626859,0.412673517
0.542192207,8,8,"North Carolina, Rockingham",37157,"-79.775,36.3959",0.516648319,0.019597019,0.573888105,0.7351,0.825,0.573499128,0.581529962,0.437125749,0.607589018,0.434566186,0.508999,0.397372263
0.581023253,8,6,"North Carolina, Rowan",37159,"-80.5245,35.64",0.597429035,0.027525206,0.62565146,0.8144,1,0.573499128,0.572803006,0.45508982,0.553960836,0.433827011,0.512115238,0.428217942
0.519057579,7,2,"North Carolina, Rutherford",37161,"-81.9211,35.4011",0.522426925,0.015554299,0.55103243,0.497,0.825,0.573499128,0.475675271,0.425149701,0.631762045,0.38457243,0.57526756,0.470833426
0.582816394,8,8,"North Carolina, Sampson",37163,"-78.3691,34.9882",0.610789328,0.029473408,0.545640248,0.7902,0.675,0.573499128,0.777455771,0.461077844,0.560557324,0.449044357,0.679911263,0.462217926
0.611862254,8,8,"North Carolina, Scotland",37165,"-79.4758,34.8386",0.540499423,0.018396485,0.594234221,0.9965,0.75,0.573499128,0.933571222,0.431137725,0.556172664,0.582992318,0.654894522,0.429659142
0.542857264,7,6,"North Carolina, Stanly",37167,"-80.2509,35.3165",0.601180633,0.026883151,0.579367325,0.553,1,0.573499128,0.507996804,0.449101796,0.587865273,0.316384255,0.454492814,0.495230495
0.472160805,10,10,"North Carolina, Stokes",37169,"-80.2389,36.4018",0.53982152,0.022515528,0.544351858,0.1643,0.75,0.573499128,0.412016802,0.407185629,0.615195238,0.379095924,0.457352656,0.47640252
